index,roman,ket_label,description,energy_over_h_khz
0,I,"|1,-1/2,+>","J=1,m=-1/2,xi=+",0.0
1,II,"|1,+1/2,+>","J=1,m=+1/2,xi=+",5.220000000000001
2,III,"|1,+3/2,+>","J=1,m=+3/2,xi=+",10.440000000000001
3,IV,"|1,-3/2,->","J=1,m=-3/2,xi=-",15.660000000000002
4,V,"|1,-1/2,->","J=1,m=-1/2,xi=-",20.880000000000003
5,VI,"|1,+1/2,->","J=1,m=+1/2,xi=-",26.1
6,VII,"|2,-3/2,+>","J=2,m=-3/2,xi=+",570000000.0
7,VIII,"|2,-1/2,+>","J=2,m=-1/2,xi=+",570000004.1777778
8,IX,"|2,+1/2,+>","J=2,m=+1/2,xi=+",570000008.3555555
9,X,"|2,+3/2,+>","J=2,m=+3/2,xi=+",570000012.5333333
10,XI,"|2,+5/2,+>","J=2,m=+5/2,xi=+",570000016.7111111
11,XII,"|2,-5/2,->","J=2,m=-5/2,xi=-",570000020.8888888
12,XIII,"|2,-3/2,->","J=2,m=-3/2,xi=-",570000025.0666667
13,XIV,"|2,-1/2,->","J=2,m=-1/2,xi=-",570000029.2444445
14,XV,"|2,+1/2,->","J=2,m=+1/2,xi=-",570000033.4222223
15,XVI,"|2,+3/2,->","J=2,m=+3/2,xi=-",570000037.6
