transition_id,source_index,target_index,Ji,Ki,parity_i,mF_i,xi_i,Jf,Kf,parity_f,mF_f,xi_f,signed_frequency_khz,rabi_over_2pi_khz
0,18,86,2,2,+,2.5,1,3,2,+,3.5,1,2000341926.0089998,2.601
1,93,23,3,2,+,-3.5,1,2,2,+,-2.5,1,-2000341929.8630002,2.601
2,49,48,3,3,+,3.5,1,3,3,+,4.5,1,-6.105000019073486,2.487
3,50,49,3,3,+,2.5,1,3,3,+,3.5,1,-6.190000057220459,2.399
4,74,75,3,3,+,0.5,4,3,3,+,1.5,4,4.7789998054504395,2.354
5,56,55,3,3,+,-3.5,1,3,3,+,-2.5,1,-6.781000137329102,2.306
6,27,94,2,2,+,1.5,2,3,2,+,2.5,2,2000341948.63,2.282
7,28,111,0,0,-,1.5,1,2,0,-,2.5,1,1965253875.991,2.223
8,57,56,3,3,+,-4.5,1,3,3,+,-3.5,1,-6.892000198364258,2.209
9,89,19,3,2,+,0.5,1,2,2,+,1.5,1,-2000341932.9349997,2.185
10,22,90,2,2,+,-1.5,1,3,2,+,-0.5,1,2000341922.855,2.146
11,115,30,2,0,-,-1.5,1,0,0,-,-0.5,1,-1965253875.702,2.105
12,24,98,2,2,+,-1.5,2,3,2,+,-0.5,2,2000341950.9459996,2.085
13,59,58,3,3,+,2.5,2,3,3,+,3.5,2,-4.553999900817871,2.035
14,21,89,2,2,+,-0.5,1,3,2,+,0.5,1,2000341923.8789997,2.027
15,98,26,3,2,+,-0.5,2,2,2,+,0.5,2,-2000341949.5959997,2.024
16,96,27,3,2,+,0.5,2,2,2,+,1.5,2,-2000341949.1339998,2.02
17,29,112,0,0,-,0.5,1,2,0,-,1.5,1,1965253867.978,2.005
18,34,0,2,1,+,0.5,1,1,1,+,1.5,1,-1334121288.248,2.003
19,102,42,2,1,-,0.5,1,1,1,-,1.5,1,-1310169288.2480001,2.003
20,77,76,2,2,-,1.5,1,2,2,-,2.5,1,-4.259999752044678,2.0
21,19,18,2,2,+,1.5,1,2,2,+,2.5,1,-4.260000109672546,2.0
22,2,34,1,1,+,-0.5,1,2,1,+,0.5,1,1334121276.638,1.977
23,44,102,1,1,-,-0.5,1,2,1,-,0.5,1,1310169276.6380002,1.977
24,123,31,2,0,-,-2.5,2,0,0,-,-1.5,1,-1965253944.9069998,1.976
