index,manifold,J,K,parity,mF,xi,energy_over_h_khz
0,1,1,1,+,1.5,1,0.0
1,1,1,1,+,0.5,1,5.441
2,1,1,1,+,-0.5,1,11.61
3,1,1,1,+,-1.5,1,19.383
4,1,1,1,+,-0.5,2,42.893
5,1,1,1,+,0.5,2,45.007
6,2,1,0,+,2.5,1,142813552.326
7,2,1,0,+,1.5,1,142813561.506
8,2,1,0,+,0.5,1,142813571.109
9,2,1,0,+,-0.5,1,142813581.133
10,2,1,0,+,-1.5,1,142813591.529
11,2,1,0,+,-2.5,1,142813602.245
12,2,1,0,+,1.5,2,142813615.597
13,2,1,0,+,0.5,2,142813624.377
14,2,1,0,+,-0.5,2,142813637.053
15,2,1,0,+,-1.5,2,142813650.82
16,2,1,0,+,0.5,3,142813656.782
17,2,1,0,+,-0.5,3,142813680.065
18,3,2,2,+,2.5,1,906028510.578
19,3,2,2,+,1.5,1,906028514.838
20,3,2,2,+,0.5,1,906028519.262
21,3,2,2,+,-0.5,1,906028523.894
22,3,2,2,+,-1.5,1,906028528.801
23,3,2,2,+,-2.5,1,906028534.096
24,3,2,2,+,-1.5,2,906028577.169
25,3,2,2,+,-0.5,2,906028577.982
26,3,2,2,+,0.5,2,906028578.519
27,3,2,2,+,1.5,2,906028578.849
28,4,0,0,-,1.5,1,1134822941.064
29,4,0,0,-,0.5,1,1134822956.392
30,4,0,0,-,-0.5,1,1134822971.72
31,4,0,0,-,-1.5,1,1134822987.048
32,5,2,1,+,2.5,1,1334121279.666
33,5,2,1,+,1.5,1,1334121283.874
34,5,2,1,+,0.5,1,1334121288.248
35,5,2,1,+,-0.5,1,1334121292.831
36,5,2,1,+,-1.5,1,1334121297.692
37,5,2,1,+,-2.5,1,1334121302.944
38,5,2,1,+,-1.5,2,1334121346.035
39,5,2,1,+,-0.5,2,1334121346.921
40,5,2,1,+,0.5,2,1334121347.53
41,5,2,1,+,1.5,2,1334121347.929
42,6,1,1,-,1.5,1,1655832000.0
43,6,1,1,-,0.5,1,1655832005.441
44,6,1,1,-,-0.5,1,1655832011.61
45,6,1,1,-,-1.5,1,1655832019.383
46,6,1,1,-,-0.5,2,1655832042.893
47,6,1,1,-,0.5,2,1655832045.007
48,7,3,3,+,4.5,1,2193342406.643
49,7,3,3,+,3.5,1,2193342412.748
50,7,3,3,+,2.5,1,2193342418.938
51,7,3,3,+,1.5,1,2193342425.216
52,7,3,3,+,0.5,1,2193342431.588
53,7,3,3,+,-0.5,1,2193342438.056
54,7,3,3,+,-1.5,1,2193342444.625
55,7,3,3,+,-2.5,1,2193342451.298
56,7,3,3,+,-3.5,1,2193342458.079
57,7,3,3,+,-4.5,1,2193342464.971
58,7,3,3,+,3.5,2,2193342517.202
59,7,3,3,+,2.5,2,2193342521.756
60,7,3,3,+,1.5,2,2193342526.482
61,7,3,3,+,0.5,2,2193342531.406
62,7,3,3,+,-0.5,2,2193342536.559
63,7,3,3,+,-1.5,2,2193342541.978
64,7,3,3,+,-2.5,2,2193342547.7
65,7,3,3,+,-3.5,2,2193342553.756
66,7,3,3,+,2.5,3,2193342607.166
67,7,3,3,+,1.5,3,2193342608.648
68,7,3,3,+,0.5,3,2193342610.361
69,7,3,3,+,-0.5,3,2193342612.453
70,7,3,3,+,-1.5,3,2193342615.235
71,7,3,3,+,-2.5,3,2193342619.533
72,7,3,3,+,-1.5,4,2193342661.159
73,7,3,3,+,-0.5,4,2193342667.699
74,7,3,3,+,0.5,4,2193342673.184
75,7,3,3,+,1.5,4,2193342677.963
76,8,2,2,-,2.5,1,2563282510.578
77,8,2,2,-,1.5,1,2563282514.838
78,8,2,2,-,0.5,1,2563282519.262
79,8,2,2,-,-0.5,1,2563282523.894
80,8,2,2,-,-1.5,1,2563282528.801
81,8,2,2,-,-2.5,1,2563282534.096
82,8,2,2,-,-1.5,2,2563282577.169
83,8,2,2,-,-0.5,2,2563282577.982
84,8,2,2,-,0.5,2,2563282578.52
85,8,2,2,-,1.5,2,2563282578.849
86,9,3,2,+,3.5,1,2906370436.587
87,9,3,2,+,2.5,1,2906370440.248
88,9,3,2,+,1.5,1,2906370443.973
89,9,3,2,+,0.5,1,2906370447.773
90,9,3,2,+,-0.5,1,2906370451.656
91,9,3,2,+,-1.5,1,2906370455.636
92,9,3,2,+,-2.5,1,2906370459.729
93,9,3,2,+,-3.5,1,2906370463.959
94,9,3,2,+,2.5,2,2906370527.479
95,9,3,2,+,1.5,2,2906370527.768
96,9,3,2,+,0.5,2,2906370527.983
97,9,3,2,+,-2.5,2,2906370528.071
98,9,3,2,+,-0.5,2,2906370528.115
99,9,3,2,+,-1.5,2,2906370528.15
100,10,2,1,-,2.5,1,2966001279.666
101,10,2,1,-,1.5,1,2966001283.874
102,10,2,1,-,0.5,1,2966001288.248
103,10,2,1,-,-0.5,1,2966001292.831
104,10,2,1,-,-1.5,1,2966001297.692
105,10,2,1,-,-2.5,1,2966001302.944
106,10,2,1,-,-1.5,2,2966001346.035
107,10,2,1,-,-0.5,2,2966001346.921
108,10,2,1,-,0.5,2,2966001347.53
109,10,2,1,-,1.5,2,2966001347.929
110,11,2,0,-,3.5,1,3100076809.911
111,11,2,0,-,2.5,1,3100076817.055
112,11,2,0,-,1.5,1,3100076824.37
113,11,2,0,-,0.5,1,3100076831.864
114,11,2,0,-,-0.5,1,3100076839.546
115,11,2,0,-,-1.5,1,3100076847.422
116,11,2,0,-,-2.5,1,3100076855.494
117,11,2,0,-,-3.5,1,3100076863.764
118,11,2,0,-,2.5,2,3100076897.278
119,11,2,0,-,1.5,2,3100076902.913
120,11,2,0,-,0.5,2,3100076909.062
121,11,2,0,-,-0.5,2,3100076915.876
122,11,2,0,-,-1.5,2,3100076923.52
123,11,2,0,-,-2.5,2,3100076931.955
124,11,2,0,-,1.5,3,3100076963.923
125,11,2,0,-,0.5,3,3100076965.459
126,11,2,0,-,-0.5,3,3100076968.234
127,11,2,0,-,-1.5,3,3100076978.053
128,11,2,0,-,-0.5,4,3100077002.681
129,11,2,0,-,0.5,4,3100077012.083
